관측지점별,2002. 01,2002. 02,2002. 03,2002. 04,2002. 05,2002. 06,2002. 07,2002. 08,2002. 09,2002. 10,2002. 11,2002. 12,2003. 01,2003. 02,2003. 03,2003. 04,2003. 05,2003. 06,2003. 07,2003. 08,2003. 09,2003. 10,2003. 11,2003. 12,2004. 01,2004. 02,2004. 03,2004. 04,2004. 05,2004. 06,2004. 07,2004. 08,2004. 09,2004. 10,2004. 11,2004. 12,2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12
관측지점별,합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm),합계강수량 (mm)
제주,56.6,33.8,59.4,65.1,141.6,118.6,495.7,356.5,143.9,112.3,18.2,102.4,55.9,64.4,164,120.9,284.3,201.9,362.2,245.1,330.4,37.6,112.5,20,40.6,48,57.7,55.5,124.8,66.1,55.7,405.1,348.5,24.9,51.5,55.4,47,98.3,84.6,33.5,52.8,11.5,120.7,217.6,9,26.1,92.5,78.9,57,73.5,43.8,88.4,163.7,271.6,338.7,64.8,261,19.3,83.6,62,124.5,61,86.2,38.1,50.8,101.9,302.8,231.7,880,167.5,2.6,92.7,156.8,31,77.5,85.7,135,260.5,61.5,243.7,126.3,29.3,73.3,28.2,61.7,113.7,50.9,94.4,52.2,155.8,201.1,240.5,113.3,77.4,115.3,28.5,34.6,81.7,161.3,210.5,33.6,188,263.9,227.6,179.1,120.3,1.8,82.5,15.6,35.1,32.4,51.3,66.1,398.6,68.3,423.1,47.8,49.1,231.3,59.9,32.9,109.1,171.9,165,99,104.8,207.3,601.9,499.1,35.7,90.6,131,20.5,60.5,55.2,94.5,59.7,160.5,14.7,74.2,82.1,113.3,82.1,41.8,50.2,137.5,88.4,52.3,86.7,65.4,288.7,460.3,93.5,92.9,100.3,47.2,82.4,35.5,80.7,147.9,150,186.4,329.7,248.6,172.9,31,173.2,90,125.6,40,96.9,121.4,113,162.7,98.6,75.6,172.3,282.4,71.3,56.6,-,31,9.8,44,30.4,20.5,441.8,290.2,53,-,17.7,33.6
서귀포,38.2,52.3,101.1,157.5,194.5,97.1,369.3,421,134.6,182.8,31.1,97.7,86.4,69.5,113.2,225,392,377,325.8,310.6,223.3,36,109.5,11.8,15.6,97.1,87,257.6,420.7,180.4,52.9,420.5,325.5,35.7,81.1,43.9,32.8,104.9,194.6,135.5,137.7,96.3,194.7,243.5,17,53.3,137,43.3,83.7,56.2,54.2,282.8,178.7,292,311.3,183,162.2,60,72.4,21.1,65.7,44.6,96.4,81,154,144.4,464.2,330,506.1,183,0.2,96.9,63,26.1,123.6,97.5,209.9,377.3,62.1,178.5,343.2,82.3,67.3,30.6,50.9,157,216.6,183.2,103.4,393,329.1,158.7,134.3,81.5,180.1,19,64.1,83.1,257.9,324.8,109.9,387,306,491.2,162.8,125,2.6,78.9,5.2,34.1,91.6,148.4,125.4,584.5,130.4,246.2,112.2,71,432.5,28.7,5,93,201.5,516.5,96.1,193.1,196.5,926.7,193.2,33.5,111.4,134.3,40.1,106,59.4,112.5,160.5,156,18.8,171.3,70,76.9,85.6,29.5,28.5,91,207,198.2,276,300.9,435,555.1,178.7,52.6,96.1,54.1,80.6,180.7,183.5,248.1,426.5,271.5,396.8,157.3,295.1,61,215.5,101.5,74.9,143.4,138.1,232.2,216.6,281.2,203.2,170.9,194.3,433.6,44.6,71.5,55.6,86.9,60.4,106.7,66.4,141.2,427.5,437.3,98.3,389.1,16.5,31.8
합계,94.8,86.1,160.5,222.6,336.1,215.7,865,777.5,278.5,295.1,49.3,200.1,142.3,133.9,277.2,345.9,676.3,578.9,688,555.7,553.7,73.6,222,31.8,56.2,145.1,144.7,313.1,545.5,246.5,108.6,825.6,674,60.6,132.6,99.3,79.8,203.2,279.2,169,190.5,107.8,315.4,461.1,26,79.4,229.5,122.2,140.7,129.7,98,371.2,342.4,563.6,650,247.8,423.2,79.3,156,83.1,190.2,105.6,182.6,119.1,204.8,246.3,767,561.7,1386.1,350.5,2.8,189.6,219.8,57.1,201.1,183.2,344.9,637.8,123.6,422.2,469.5,111.6,140.6,58.8,112.6,270.7,267.5,277.6,155.6,548.8,530.2,399.2,247.6,158.9,295.4,47.5,98.7,164.8,419.2,535.3,143.5,575,569.9,718.8,341.9,245.3,4.4,161.4,20.8,69.2,124,199.7,191.5,983.1,198.7,669.3,160,120.1,663.8,88.6,37.9,202.1,373.4,681.5,195.1,297.9,403.8,1528.6,692.3,69.2,202,265.3,60.6,166.5,114.6,207,220.2,316.5,33.5,245.5,152.1,190.2,167.7,71.3,78.7,228.5,295.4,250.5,362.7,366.3,723.7,1015.4,272.2,145.5,196.4,101.3,163,216.2,264.2,396,576.5,457.9,726.5,405.9,468,92,388.7,191.5,200.5,183.4,235,353.6,329.6,443.9,301.8,246.5,366.6,716,115.9,128.1,55.6,117.9,70.2,150.7,96.8,161.7,869.3,727.5,151.3,389.1,34.2,65.4
